SEEA,SEEA (Subtypes),SEEA Code,SEEA Description ,,CICES (v5.1) Class,"CICES Code
",NESCS,"NESCS Code  
(WWW.XXX.YYY.ZZZ)
WWW: Environmental classes
XXX: Ecological end-product classes
YYY: Direct use classes
ZZZ: Direct user classes
",IPBES,"IPBES Reporting Categories of Nature's Contribution to People

",MA,TEEB,,,,,,,,,,,,,
Biomass provisioning services ,Crop provisioning services,1.1,"Crop provisioning services are the ecosystem contributions to the growth of cultivated plants that are harvested by economic units for various uses including food and fibre production, fodder and energy. This is a final ecosystem service.",,"Cultivated terrestrial plants (including fungi, algae) grown for nutritional purposes",1.1.1.1,Flora—Raw Material For Transformation OR Support Human Life ,(11/22/27)W.5X.(101/109).(111/211),Food and feed,12,Food,Food (Sub-service: Plants/vegetable food); Raw materials (Sub-service: Fodder),,,,,,,,,,,,,
,,,,,"Wild plants (terrestrial and aquatic, including fungi, algae) used for nutrition",1.1.5.1,,(11/12/21/23/24/25/27)W.5X.(101/109).(111/211),,,,,,,,,,,,,,,,,
,Grazed biomass provisioning services,1.2,"Grazed biomass provisioning services are the ecosystem contributions to the growth of grazed biomass that is an input to the growth of cultivated livestock. This service excludes the ecosystem contributions to the growth of crops used to produce fodder for livestock (e.g., hay, soybean meal). These contributions are included under crop provisioning services. This is a final ecosystem service but may be intermediate to livestock provisioning services.",,"Fibres and other materials from cultivated plants, fungi, algae and bacteria for direct use or processing  (excluding genetic materials)",1.1.1.2,Flora—Support Animal Cultivation,(21/22/23/24/27)W.5X.108.(111/211),"Materials and assistance, Medicinal, biochemical and genetic resources","13, 14","Fibre, Timber, Ornamental, Biochemical",Raw materials (Sub-service: Fodder),,,,,,,,,,,,,
,Livestock provisioning services ,1.3,"Livestock provisioning services are the ecosystem contributions to the growth of cultivated livestock and livestock products (e.g., meat, milk, eggs, wool, leather), that are used by economic units for various uses, primarily food production. This is a final ecosystem service. No distinct livestock provisioning services to be recorded if grazed biomass provisioning services are recorded as a final ecosystem service.",,Animals reared  for nutritional purposes,1.1.3.1,,(11/22/23//27)W.4X.(111/109).(111/211),Food and feed,12,,Food (Sub-service: Meat),,,,,,,,,,,,,
,,,,,Fibres and other materials from reared animals for direct use or processing (excluding genetic materials),1.1.3.2,,(11/22/23//27)W.(4/7)X.(111).(111/211),"Materials and assistance, Medicinal, biochemical and genetic resources","13, 14",,,,,,,,,,,,,,,
,Aquaculture provisioning services ,1.4,"Aquaculture provisioning services are the ecosystem contributions to the growth of animals and plants (e.g. fish, shellfish, seaweed) in aquaculture facilities that are harvested by economic units for various uses. This is a final ecosystem service.",,Plants cultivated by in- situ aquaculture  grown for nutritional purposes ,1.1.2.1,Flora—Raw Material For Transformation OR Support Human Life ,11W.5X.(101/109).(111/211),Food and feed,12,Food,Food (Sub-service: Plants / vegetable food),,,,,,,,,,,,,
,,,,,Fibres and other materials from in-situ aquaculture for direct use or processing  (excluding genetic materials),1.1.2.2,Fauna—Raw Material For Transformation OR Support Human Life OR Recreation/Tourism,11W.5X.(101/109/111).(111/211),"Materials and assistance, Medicinal, biochemical and genetic resources","13, 14","Fibre, Timber, Ornamental, Biochemical",Raw materials (Sub-service: Fibers),,,,,,,,,,,,,
,,,,,Plants cultivated by in- situ aquaculture grown as an energy source,1.1.2.3,,11W.5X.107.(111/211),Energy,11,"Fibre, Timber, Ornamental, Biochemical",Raw materials; Ornamental Resources,,,,,,,,,,,,,
,,,,,Animals reared by in-situ aquaculture for nutritional purposes,1.1.4.1,,11W.4X.(101/109).(111/211),Food and feed,12,Food,Food (Sub-service: Fish),,,,,,,,,,,,,
,,,,,Fibres and other materials from animals grown by in-situ aquaculture for direct use or processing  (excluding genetic materials),1.1.4.2,,11W.4X.109.(111/211),"Materials and assistance, Medicinal, biochemical and genetic resources","13, 14","Fibre, Timber, Ornamental, Biochemical",Raw materials; Medicinal resources,,,,,,,,,,,,,
,Wood provisioning services,1.5,Wood provisioning services are the ecosystem contributions to the growth of trees and other woody biomass in both cultivated (plantation) and uncultivated production contexts that are harvested by economic units for various uses including timber production and energy. This service excludes contributions to non-wood forest products. This is a final ecosystem service.,,"Fibres and other materials from cultivated plants, fungi, algae and bacteria for direct use or processing  (excluding genetic materials)",1.1.1.2,Flora—Raw Material For Transformation OR Industrial Processing,(11/22/27)W.5X.(101/109).(111/211),"Materials and assistance, Medicinal, biochemical and genetic resources","13, 14","Fibre, Timber, Ornamental, Biochemical",Raw materials (Sub-service: Timber),,,,,,,,,,,,,
,,,,,"Cultivated plants (including fungi, algae) grown as a source of  energy ",1.1.1.3,Flora—Fuel/energy,(11/22/27)W.5X.107.(111/211),Energy,12,"Fibre, Timber, Ornamental, Biochemical",Raw materials (Sub-service: Fuel wood and charcoal),,,,,,,,,,,,,
,,,,,Fibres and other materials from wild plants for direct use or processing  (excluding genetic materials),1.1.5.2,,(11/12/21/23/24/25/27)W.5X.101.(111/211),"Materials and assistance, Medicinal, biochemical and genetic resources","13, 14","Fibre, Timber, Ornamental, Biochemical",Raw materials (Sub-service: Fibers),,,,,,,,,,,,,
