Combined condition accounts,,,,,,,,,,,,,,,,,,,,,,
Forest,,,,,,,,,,,,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (0 - 1),,Change in indicator (level),Weight in aggregate index,Index values,,,,,,,,,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,,,Opening,Closing,Change*,,,Ecosystem condition account Stage 1,,,,
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,Ecosystem condition account Stage 2,,,,
,Abiotic characteristics,Physical state,Vegetation water content - NDWI,index (-1 to 1),0.31,0.29,-1,1,0.655,0.645,-0.010000000000000009,0.16666666666666666,0.10916666666666666,0.1075,-0.0016666666666666635,,,Ecosystem condition account Stage 3,,,,
,,Chemical state,Soil organic carbon stock,tC/ha,100,95,0,250,0.4,0.38,-0.020000000000000018,0.08333333333333333,0.03333333333333333,0.03166666666666666,-0.0016666666666666705,,,,,,,
,,,Foliar or litter nitrogen concentration,mg N / g dry weight,18,17,4,40,0.38888888888888884,0.36111111111111116,-0.02777777777777768,0.08333333333333333,0.0324074074074074,0.030092592592592594,-0.0023148148148148043,,,,,,,
,,,,,,,,,,,,,,,,,"Condition variables used in the forest condition account: NDWI, an index for vegetation water content, can indicate water stress or in how far forest functions are limited by water; a higher water content relates to a better condition. Soil organic carbon and leaf nutrients are essential to healthy forests. Diverse forests are more productive and deliver more regulating ecosystem services (tree species richness). NDWI is the most commonly used vegetation condition index and used as a metric for forest functional state. Forest area density measures the proportion of the pixels in a surrounding fixed-area neighborhood that are forest. Intact forests have a value of 100%. ",,,,,
,,Total abiotic,,,,,,,,,,0.3333333333333333,0.1749074074074074,0.16925925925925925,-0.005648148148148152,,,,,,,
,Biotic characteristics,Compositional state,Tree species richness,number,6,5,0,10,0.6,0.5,-0.09999999999999998,0.16666666666666666,0.09999999999999999,0.08333333333333333,-0.016666666666666663,,,,,,,
,,Structural state,Tree cover,%,81,75,0,100,0.81,0.75,-0.06000000000000005,0.16666666666666666,0.135,0.125,-0.010000000000000009,,,,,,,
,,Functional state,Vegetation index - NDVI,index (-1 to 1),0.65,0.63,-1,1,0.825,0.815,-0.010000000000000009,0.16666666666666666,0.13749999999999998,0.1358333333333333,-0.0016666666666666774,,,,,,,
,,Total biotic,,,,,,,,,,0.5,0.37249999999999994,0.3441666666666666,-0.02833333333333332,,,,,,,
,Landscape/seascape characteristics,,Forest area density,%,74,59,0,100,0.74,0.59,-0.15000000000000002,0.16666666666666666,0.12333333333333332,0.09833333333333333,-0.024999999999999994,,,,,,,
,,Total landscape/seascape,,,,,,,,,,,0.12333333333333332,0.09833333333333333,-0.024999999999999994,,,,,,,
