Condition indices account,,,,,,,,,,
,,,Forest,Lake,Cropland,Urban area,Wetland,Seagrass,,
,Opening condition value,,0.6707407407407406,0.6261039886039885,0.46791666666666665,0.5044047619047619,0.5912619047619048,0.4450202991452991,,
,,Change in abiotic ecosystem characteristics,-0.005648148148148152,0.018648018648018683,-0.0016666666666666496,0.012999999999999956,-0.021666666666666667,-0.027783119658119665,,
,,Change in biotic ecosystem characteristics,-0.02833333333333332,0.026962962962962966,0.0067499999999999505,-0.024190476190476207,-0.0036190476190475773,-0.028166666666666673,,
,,Change in landscape/seascape level characteristics,-0.024999999999999994,0,-0.0016666666666666635,-0.008000000000000007,-0.010000000000000002,-0.020000000000000004,,
,,Net change in condition,-0.058981481481481524,0.04561098161098165,0.0034166666666666234,-0.019190476190476202,-0.035285714285714254,-0.07594978632478627,,
,Closing condition value,,0.6117592592592591,0.6717149702149702,0.47133333333333327,0.4852142857142857,0.5559761904761905,0.36907051282051284,,
,,Sum of change in characteristics,-0.05898148148148147,0.04561098161098165,0.0034166666666666373,-0.019190476190476258,-0.03528571428571425,-0.07594978632478634,,
,,Check,-5.551115123125783e-17,0,-1.3877787807814457e-17,5.551115123125783e-17,0,0,,
,"Net change in condition can be derived as the change between opening and closing condition values or as the sum of the change in the three higher level ECT classes (abiotic, biotic and landscape)",,,,,,,,,
,Totals and aggregates may differ due to rounding,,,,,,,,,
