Ecosystem Condition Indicator Accounts,,,,,,,,,,,
Forest,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (rescaled),,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,Change   
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,Abiotic characteristics,Physical state,Vegetation water content - NDWI,index (-1 to 1),0.31,0.29,-1,1,0.655,0.645,-0.010000000000000009
,,Chemical state,Soil organic carbon stock,tC/ha,100,95,0,250,0.4,0.38,-0.020000000000000018
,,,Foliar or litter nitrogen concentration,mg N / g dry weight,18,17,4,40,0.38888888888888884,0.36111111111111116,-0.02777777777777768
,Biotic characteristics,Compositional state,Tree species richness,number,6,5,0,10,0.6,0.5,-0.09999999999999998
,,Structural state,Tree cover,%,81,75,0,100,0.81,0.75,-0.06000000000000005
,,Functional state,Vegetation index - NDVI,index (-1 to 1),0.65,0.63,-1,1,0.825,0.815,-0.010000000000000009
,Landscape/seascape characteristics,,Forest area density,%,74,59,0,100,0.74,0.59,-0.15000000000000002
Lake,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (rescaled),,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,Change   
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,Abiotic characteristics,Physical state,Water clarity,m Secchi depth,5,5.5,0.25,10,0.48717948717948717,0.5384615384615384,0.051282051282051266
,,Chemical state,Nitrogen concentration,total N mg/l,1.1,0.9,2,0,0.44999999999999996,0.55,0.10000000000000009
,,,Chlorophyll a concentration,ug/l,4.2,3.5,35,2,0.9333333333333333,0.9545454545454546,0.021212121212121238
,Biotic characteristics,Compositional state,Fish species richness,number,35,34,0,45,0.7777777777777778,0.7555555555555555,-0.022222222222222254
,,Structural state,Ratio between biomass of predatory fish and total fish,percentage,12.5,17,0,25,0.5,0.68,0.18000000000000005
,,Functional state,Biological oxygen demand,mg O2/l,2.5,2.4,25,0,0.9,0.904,0.0040000000000000036
,Landscape/seascape characteristics,,Share of lake shoreline with natural vegetation,percentage,40,40,0,100,0.4,0.4,0
Cropland,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (rescaled),,
