Ecosystem condition index accounts,,,,,,,,,
Forest,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Indicator values (0 - 1),,Indicator weight,Index values,,
,,,,Opening,Closing,,Opening,Closing,Change*
,(1) ,(2),(3),(9),(10),(12),(13),(14),(15)
,Abiotic characteristics,Physical state,Vegetation water content - NDWI,0.655,0.645,0.16666666666666666,0.10916666666666666,0.1075,-0.0016666666666666635
,,Chemical state,Soil organic carbon stock,0.4,0.38,0.08333333333333333,0.03333333333333333,0.03166666666666666,-0.0016666666666666705
,,,Foliar or litter nitrogen concentration,0.38888888888888884,0.36111111111111116,0.08333333333333333,0.0324074074074074,0.030092592592592594,-0.0023148148148148043
,,Total abiotic,,,,0.3333333333333333,0.1749074074074074,0.16925925925925925,-0.005648148148148152
,Biotic characteristics,Compositional state,Tree species richness,0.6,0.5,0.16666666666666666,0.09999999999999999,0.08333333333333333,-0.016666666666666663
,,Structural state,Tree cover,0.81,0.75,0.16666666666666666,0.135,0.125,-0.010000000000000009
,,Functional state,Vegetation index - NDVI,0.825,0.815,0.16666666666666666,0.13749999999999998,0.1358333333333333,-0.0016666666666666774
,,Total biotic,,,,0.5,0.37249999999999994,0.3441666666666666,-0.02833333333333332
,Landscape/seascape characteristics,,Forest area density,0.74,0.59,0.16666666666666666,0.12333333333333332,0.09833333333333333,-0.024999999999999994
,,Total landscape/seascape,,,,,0.12333333333333332,0.09833333333333333,-0.024999999999999994
,Total,,,,,1,0.6707407407407406,0.6117592592592591,-0.058981481481481524
,"* Changes in index values are derived as the difference between opening and closing index values. Due to rounding, this may differ from the result obtained from weighting the change in indicator values.",,,,,,,,
Lake,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Indicator values (0 - 1),,Weight in aggregate index,Index values,,
,,,,Opening,Closing,,Opening,Closing,Change*
,(1) ,(2),(3),(9),(10),(12),(13),(14),(15)
,Abiotic characteristics,Physical state,Water clarity,0.48717948717948717,0.5384615384615384,0.16666666666666666,0.08119658119658119,0.08974358974358973,0.008547008547008544
,,Chemical state,Nitrogen concentration,0.44999999999999996,0.55,0.08333333333333333,0.03749999999999999,0.04583333333333334,0.008333333333333345
,,,Chlorophyll a concentration,0.9333333333333333,0.9545454545454546,0.08333333333333333,0.07777777777777778,0.07954545454545454,0.0017676767676767652
,,Total abiotic,,,,0.33,0.19647435897435894,0.21512237762237763,0.018648018648018683
,Biotic characteristics,Compositional state,Fish species richness,0.7777777777777778,0.7555555555555555,0.16666666666666666,0.12962962962962962,0.1259259259259259,-0.003703703703703709
,,Structural state,Ratio between biomass of predatory fish and total fish,0.5,0.68,0.16666666666666666,0.08333333333333333,0.11333333333333334,0.030000000000000013
,,Functional state,Biological oxygen demand,0.9,0.904,0.16666666666666666,0.15,0.15066666666666667,0.0006666666666666765
,,Total biotic,,,,0.5,0.36296296296296293,0.3899259259259259,0.026962962962962966
,Landscape/seascape characteristics,,Share of lake shoreline with natural vegetation,0.4,0.4,0.16666666666666666,0.06666666666666667,0.06666666666666667,0
,,Total landscape/seascape,,,,,0.06666666666666667,0.06666666666666667,0
,Total,,,,,1,0.6261039886039885,0.6717149702149702,0.04561098161098165
,"* Changes in index values are derived as the difference between opening and closing index values. Due to rounding, this may differ from the result obtained from weighting the change in indicator values.",,,,,,,,
Cropland,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Indicator values (0 - 1),,Weight in aggregate index,Index values,,
,,,,Opening,Closing,,Opening,Closing,Change*
,(1) ,(2),(3),(9),(10),(12),(13),(14),(15)
,Abiotic characteristics,Physical state,Vegetation water content - NDWI,0.425,0.435,0.16666666666666666,0.07083333333333333,0.0725,0.0016666666666666635
,,Chemical state,Soil organic carbon,0.64,0.62,0.16666666666666666,0.10666666666666666,0.10333333333333333,-0.003333333333333327
,,Total abiotic,,,,0.33,0.1775,0.17583333333333334,-0.0016666666666666496
,Biotic characteristics,Compositional state,Farmland bird species richness,0.71,0.7,0.16666666666666666,0.11833333333333332,0.11666666666666665,-0.0016666666666666635
,,Structural state,Crop diversity,0.43,0.48,0.08333333333333333,0.03583333333333333,0.039999999999999994,0.004166666666666666
,,,Share of organic farming,0.075,0.076,0.08333333333333333,0.0062499999999999995,0.006333333333333333,8.33333333333337e-05
,,Functional state,Gross primary production,0.525,0.5499999999999999,0.16666666666666666,0.0875,0.09166666666666665,0.004166666666666652
,,Total biotic,,,,0.5,0.24791666666666665,0.2546666666666666,0.0067499999999999505
,Landscape/seascape characteristics,,Share of semi-natural vegetation,0.255,0.24500000000000002,0.16666666666666666,0.042499999999999996,0.04083333333333333,-0.0016666666666666635
,,Total landscape/seascape,,,,,0.042499999999999996,0.04083333333333333,-0.0016666666666666635
,Total,,,,,1,0.46791666666666665,0.47133333333333327,0.0034166666666666234
,"* Changes in index values are derived as the difference between opening and closing index values. Due to rounding, this may differ from the result obtained from weighting the change in indicator values.",,,,,,,,
Urban area,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Indicator values (0 - 1),,Weight in aggregate index,Index values,,
,,,,Opening,Closing,,Opening,Closing,Change*
,(1) ,(2),(3),(9),(10),(12),(13),(14),(15)
,Abiotic characteristics,Physical state,Imperviousness (soil sealed per area),0.55,0.57,0.2,0.11000000000000001,0.11399999999999999,0.003999999999999976
,,Chemical state,Nitrogen dioxide (NO2) concentration,0.2625,0.3075,0.2,0.052500000000000005,0.0615,0.008999999999999994
,,Total abiotic,,,,0.4,0.16250000000000003,0.1755,0.012999999999999956
,Biotic characteristics,Compositional state,Bird species richness,0.7066666666666667,0.6,0.2,0.14133333333333334,0.12,-0.021333333333333343
,,Structural state,Tree cover,0.44285714285714284,0.42857142857142855,0.2,0.08857142857142858,0.08571428571428572,-0.0028571428571428636
,,Functional state,No variable selected,,,,,,
,,Total biotic,,,,0.4,0.22990476190476192,0.2057142857142857,-0.024190476190476207
,Landscape/seascape characteristics,,Landscape mosaic - share of dominant natural land types in the surrounding landscape,0.56,0.52,0.2,0.11200000000000002,0.10400000000000001,-0.008000000000000007
,,Total landscape/seascape,,,,,0.11200000000000002,0.10400000000000001,-0.008000000000000007
,Total,,,,,1,0.5044047619047619,0.4852142857142857,-0.019190476190476202
,"* Changes in index values are derived as the difference between opening and closing index values. Due to rounding, this may differ from the result obtained from weighting the change in indicator values.",,,,,,,,
Wetland,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Indicator values (0 - 1),,Weight in aggregate index,Index values,,
,,,,Opening,Closing,,Opening,Closing,Change*
,(1) ,(2),(3),(9),(10),(12),(13),(14),(15)
,Abiotic characteristics,Physical state,Duration of water inundation/saturation,0.97,0.89,0.16666666666666666,0.16166666666666665,0.14833333333333332,-0.013333333333333336
,,Chemical state,Nitrogen concentration,0.5549999999999999,0.505,0.16666666666666666,0.09249999999999999,0.08416666666666667,-0.008333333333333318
,,Total abiotic,,,,0.33,0.25416666666666665,0.23249999999999998,-0.021666666666666667
,Biotic characteristics,Compositional state,Dragonfly and damselfly sepcies richness,0.8285714285714286,0.7428571428571429,0.16666666666666666,0.1380952380952381,0.12380952380952381,-0.01428571428571429
,,Structural state,Vegetation cover (native macrophytes),0.6,0.62,0.16666666666666666,0.09999999999999999,0.10333333333333333,0.003333333333333341
,,Functional state,Biological oxygen demand,0.204,0.248,0.16666666666666666,0.033999999999999996,0.04133333333333333,0.0073333333333333375
,,Total biotic,,,,0.5,0.27209523809523806,0.2684761904761905,-0.0036190476190475773
,Landscape/seascape characteristics,,Intensity of surrounding land use within a 50m buffer area,0.39,0.33,0.16666666666666666,0.065,0.055,-0.010000000000000002
,,Total landscape/seascape,,,,,0.065,0.055,-0.010000000000000002
,Total,,,,,1,0.5912619047619048,0.5559761904761905,-0.035285714285714254
,"* Changes in index values are derived as the difference between opening and closing index values. Due to rounding, this may differ from the result obtained from weighting the change in indicator values.",,,,,,,,
Seagrass,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Indicator values (0 - 1),,Weight in aggregate index,Index values,,
,,,,Opening,Closing,,Opening,Closing,Change*
,(1) ,(2),(3),(9),(10),(12),(13),(14),(15)
