Ecosystem assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Opening extent, 1 January 2020",,,,,,,,,,,,,,,,,Opening summary table,,,,,,,,,,,,,
,,,1,1,1,1,1,1,5,5,5,4,4,6,6,6,,Ecosystem asset / type,ha,,,,,,,,,,,,
,,,1,1,1,1,1,1,5,5,5,4,4,6,6,6,,Forest,40,1,,,,,,,,,,,
,1,1,1,1,1,1,1,5,5,5,5,4,4,6,6,6,,Lake,30,2,,,,,,,,,,,
,1,1,1,1,1,1,1,5,5,5,5,4,4,6,6,6,,Cropland,60,3,,,,,,,,,,,
,1,1,1,1,1,1,1,5,5,5,5,4,4,6,6,6,,Urban area,50,4,,,,,,,,,,,
,1,1,1,1,1,1,1,5,5,4,4,4,4,6,6,6,,Wetland,20,5,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,Seagrass,50,6,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,Total,250,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,6,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,6,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,6,6,6,,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,6,6,6,,,,,,,,,,,,,,,,
,,Note: One square = 100m*100m =  1 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Closing extent, 1 January 2020",,,,,,,,,,,,,,,,,Closing summary table,,,,,,,,,,,,,
,,,1,1,1,1,1,1,5,5,5,4,4,6,6,6,,Ecosystem asset / type,ha,,,,,,,,,,,,
,,,1,1,1,1,1,1,5,5,5,4,4,6,6,6,,Forest,38,1,,,,,,,,,,,
,1,1,1,1,1,1,1,5,5,5,5,4,4,6,6,6,,Lake,30,2,,,,,,,,,,,
,1,1,1,1,1,1,1,5,5,5,5,4,4,6,6,6,,Cropland,62,3,,,,,,,,,,,
,1,1,1,1,1,1,1,5,5,5,5,4,4,6,6,6,,Urban area,50,4,,,,,,,,,,,
,3,3,1,1,1,1,1,5,5,4,4,4,4,6,6,6,,Wetland,20,5,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,Seagrass,50,6,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,Total,250,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,4,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,6,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,6,6,6,6,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,6,6,6,,,,,,,,,,,,,,,,
,3,3,3,3,3,3,2,2,2,4,4,4,6,6,6,,,,,,,,,,,,,,,,
,,Note: One square = 100m*100m =  1 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
