Data on ecosystem services flow,,,,,,,,,,,,,,,,,,,,,,,,
Auxiliary sheet,,,,,,,,,,,,,,,,,,,,,,,,
,Ecosystem type,,,Ecosystem services (physical flows),,,,,,,Ecosystem services (prices),,,,,,,Ecosystem services (exchange values),,,,,,
,,,,Wood provisioning,Crop provisioning,Wild fish biomass provisioning,Global climate regulation,Water purification,Recreation related,,Wood provisioning,Crop provisioning,Wild fish biomass provisioning,Global climate regulation,Water purification,Recreation related,,Wood provisioning,Crop provisioning,Wild fish biomass provisioning,Global climate regulation,Water purification,Recreation related,
,,,,m3,tonnes,tonnes,tonnes CO2,N removed (tonnes),# visits,,$/m3,$/tonnes,$/tonnes,$/tonnes CO2,$/N removed (tonnes),$/visit,,$,$,$,$,$,$,
,Forest,Actual flows,,140,,,150,,1500,,60,,,25,,5,,8400,0,0,3750,0,7500,
,,Expected flows,,,,,,,,,,,,,,,,,,,,,,
,,   Opening,,150,,,160,,1600,,60,,,25,,5,,9000,0,0,4000,0,8000,
,,   Closing,,120,,,125,,1450,,65,,,26,,5,,7800,0,0,3250,0,7250,
,Lake,Actual flows,,,,3,,,5000,,,,350,,,5,,0,0,1050,0,0,25000,
,,Expected flows,,,,,,,,,,,,,,,,,,,,,,
,,   Opening,,,,3,,,4800,,,,340,,,5,,0,0,1020,0,0,24000,
,,   Closing,,,,4,,,5000,,,,370,,,5,,0,0,1480,0,0,25000,
,Cropland,Actual flows,,,150,,,,,,,75,,,,,,0,11250,0,0,0,0,
,,Expected flows,,,,,,,,,,,,,,,,,,,,,,
,,   Opening,,,150,,,,,,,75,,,,,,0,11250,0,0,0,0,
,,   Closing,,,170,,,,,,,75,,,,,,0,12750,0,0,0,0,
,Urban area,Actual flows,,,,,5,,2500,,,,,25,,5,,0,0,0,125,0,12500,
,,Expected flows,,,,,,,,,,,,,,,,,,,,,,
,,   Opening,,,,,5,,2400,,,,,25,,5,,0,0,0,125,0,12000,
,,   Closing,,,,,5,,2600,,,,,26,,5,,0,0,0,130,0,13000,
,Wetland,Actual flows,,,,,20,7,,,,,,25,100,,,0,0,0,500,700,0,
,,Expected flows,,,,,,,,,,,,,,,,,,,,,,
,,   Opening,,,,,20,7,,,,,,25,100,,,0,0,0,500,700,0,
,,   Closing,,,,,19,7,,,,,,26,100,,,0,0,0,494,700,0,
,Seagrass,Actual flows,,,,6,250,,800,,,,350,25,,5,,0,0,2100,6250,0,4000,
,,Expected flows,,,,,,,,,,,,,,,,,,,,,,
,,   Opening,,,,6,250,,800,,,,340,25,,5,,0,0,2040,6250,0,4000,
,,   Closing,,,,6,250,,700,,,,370,26,,5,,0,0,2220,6500,0,3500,
,Total,Actual flows,,140,150,9,425,7,9800,,,,,,,,,8400,11250,3150,10625,700,49000,
,Users,,,,,,,,,,,,,,,,,,,,,,,
,Agriculture,Actual flows,,,150,,,,,,,75,,,,,,,11250,,,,,
,Forestry,Actual flows,,140,,,,,,,60,,,,,,,8400,,,,,,
,Fisheries,Actual flows,,,,9,,,,,,,350,,,,,,,3150,,,,
,Energy & water supply,Actual flows,,,,,,7,,,,,,,100,,,,,,,700,,
,Government,Actual flows,,,,,425,,,,,,,25,,,,,,,10625,,,
,Households,Actual flows,,,,,,,9800,,,,,,,5,,,,,,,49000,
