Monetary ecosystem asset account,,,,,,,,,,
,,,,Forest,Lake,Cropland,Urban area,Wetland,Seagrass,TOTAL
,Opening value,,,905065.384442367,1078320.75803562,484856.455951268,522567.51363636664,51718.02196813526,529678.7416569853,3572206.8756907415
,,Ecosystem enhancement,,0,15299.91483224001,0,0,0,0,15299.91483224001
,,Ecosystem degradation,,-108111.08092207431,0,0,0,-1099.007966822874,-163946.12963898873,-273156.2185278859
,,Ecosystem conversions,,,,,,,,
,,,Additions,0,0,16943.90840689915,0,0,0,16943.90840689915
,,,Reductions,-43434.632199620435,0,0,0,0,0,-43434.632199620435
,,Other changes in volume of ecosystem assets,,,,,,,,
,,,Catastrophic losses,,,,,,,
,,,Upward reappraisals,0,0,47703.619053269904,43098.35164011271,0,0,90801.97069338261
,,,Downwards reappraisals,0,0,0,0,0,0,0
,,Revaluations,,35180.16369339039,47623.67856232454,0,215.49175820056377,840.4178569821986,160929.24502418088,244788.99689507857
,,Net change in value ,,-116365.54942830431,62923.5933945647,64647.52746016899,43313.84339831333,-258.5901098406757,-3016.884614807903,51243.940100095235
,Closing value,,,788699.8350140627,1141244.3514301847,549503.983411437,565881.35703468,51459.431858294585,526661.8570421773,3623450.8157908367
,,,Check,0,-1.4551915228366852e-10,6.548361852765083e-11,0,0,5.820766091346741e-11,-1.2223608791828156e-09
,,,Opening extent (ha),40,30,60,50,20,50,
,,,Closing extent (ha),38,30,62,50,20,50,
,,,Asset value / opening extent,22626.634611059177,35944.025267854,8080.940932521134,10451.350272727334,2585.901098406763,10593.574833139704,
,,,Asset value / closing extent,20755.258816159545,38041.478381006156,8862.967474378016,11317.6271406936,2572.971592914729,10533.237140843547,
,,,Change in value per ha,-1871.3757948996317,2097.453113152158,782.0265418568824,866.2768679662659,-12.929505492033968,-60.33769229615791,
