Ecosystem services supply and use account in monetary terms ,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUPPLY,,,,,,,,,,,,,Forest,Lake,Cropland,Urban area,Wetland,Seagrass,Total Supply resident  ecosystem assets,Supply from non-resident ecosystem assets - Imports,,TOTAL SUPPLY,
,,,,,,,,,,,,,,,,,,,,,,Final,Intermediate,,
,,Selected ecosystem services,,,,,,,,,,,,,,,,,,,,,,,
,,Provisioning services,,,,,,,,,,,,,,,,,,,,,,,
,,,Biomass provisioning,Crop provisioning,,,,,,,,,,,,,11250,,,,11250,0,0,11250,
,,,,Wood provisioning services,,,,,,,,,,,8400,,,,,,8400,0,0,8400,
,,,,Wild fish and other natural aquatic biomass provisioning services,,,,,,,,,,,,1050,,,,2100,3150,0,0,3150,
,,Regulating and maintenance services,,,,,,,,,,,,,,,,,,,,,,,
,,,Global climate regulation services,,,,,,,,,,,,3750,,,125,500,6250,10625,0,0,10625,
,,,Water purification services,,,,,,,,,,,,,,,,700,,700,0,0,700,
,,Cultural services,,,,,,,,,,,,,,,,,,,,,,,
,,,Recreation-related services,,,,,,,,,,,,7500,25000,,12500,,4000,49000,0,0,49000,
,,TOTAL SUPPLY,,,,,,,,,,,,,19650,26050,11250,12625,1200,12350,83125,0,0,83125,
,,USE,,,Agriculture,Forestry,Fisheries,"Electricity, gas, steam and air conditioning supply",Total  Industry,Government consumption,Household consumption,Total Use by resident economic units ,Exports - final ecosystem services,Total Use by economic units ,Forest,Lake,Cropland,Urban area,Wetland,Seagrass,Total use resident  ecosystem assets,Exports - intermediate services,Total Use by ecosystem assets,TOTAL USE,
,,Selected ecosystem services,,,,,,,,,,,,,,,,,,,,,,,
,,Provisioning services,,,,,,,,,,,,,,,,,,,,,,,
,,,Biomass provisioning,Crop provisioning,11250,,,,11250,,,11250,,11250,,,,,,,0,0,0,11250,
,,,,Wood provisioning services,,8400,,,8400,,,8400,,8400,,,,,,,0,0,0,8400,
,,,,Wild fish and other natural aquatic biomass provisioning services,,,3150,,3150,,,3150,,3150,,,,,,,0,0,0,3150,
,,Regulating and maintenance services,,,,,,,,,,,,,,,,,,,,,,,
,,,Global climate regulation services,,,,,,,10625,,10625,,10625,,,,,,,0,0,0,10625,
,,,Water purification services,,,,,700,700,,,700,,700,,,,,,,0,0,0,700,
,,Cultural services,,,,,,,,,,,,,,,,,,,,,,,
,,,Recreation-related services,,,,,,,,49000,49000,,49000,,,,,,,0,0,0,49000,
,,TOTAL USE,,,11250,8400,3150,700,23500,10625,49000,83125,0,83125,,,,,,,0,0,0,83125,
