NPV by ecosystem type,,,,,
,Forest,,"Opening value
(1 January 2020)","Closing value
(31 December 2020)",
,Expected physical flows,Wood provisioning (m3),150,120,
,,Global climate regulation (tonnes CO2),160,125,
,,Recreation-related (# visits),1600,1450,
,Expected prices,Wood provisioning,60,65,
,,Global climate regulation,25,26,
,,Recreation-related,5,5,
,Expected exchange values,Wood provisioning,9000,7800,
,,Global climate regulation,4000,3250,
,,Recreation-related,8000,7250,
,,Total,21000,18300,
,Net present value,Wood provisioning,387885.16476101446,336167.14279287914,
,,Global climate regulation,172393.40656045085,140069.64283036633,
,,Recreation-related,344786.8131209017,312463.0493908172,
,,Total,905065.384442367,788699.8350140627,
,Change in NPV,,,-116365.54942830431,
,Assumptions,Asset life (in years),100,100,
,,Discount rate,0.02,0.02,
,Lake,,"Opening value
(1 January 2020)","Closing value
(31 December 2020)",
,Expected physical flows,Wild fish provisioning (tonnes),3,4,
,,Recreation-related (# visits),4800,5000,
,Expected prices,Wild fish provisioning,340,370,
,,Recreation-related,5,5,
,Expected exchange values,Wild fish provisioning,1020,1480,
,,Recreation-related,24000,25000,
,,Total,25020,26480,
,Net present value,Wild fish provisioning,43960.31867291496,63785.56042736681,
,,Recreation-related,1034360.4393627051,1077458.791002818,
,,Total,1078320.75803562,1141244.3514301847,
,Change in NPV,,,62923.5933945647,
,Assumptions,Asset life (in years),100,100,
,,Discount rate,0.02,0.02,
,Cropland,,"Opening value
(1 January 2020)","Closing value
(31 December 2020)",
,Expected physical flows,Crop provisioning (tonnes),150,170,
,Expected prices,Crop provisioning,75,75,
,Expected exchange values,Crop provisioning,11250,12750,
,,Total,11250,12750,
,Net present value,Crop provisioning,484856.455951268,549503.983411437,
,,Total,484856.455951268,549503.983411437,
,Change in NPV,,,64647.52746016899,
,Assumptions,Asset life (in years),100,100,
,,Discount rate,0.02,0.02,
,Urban area,,"Opening value
(1 January 2020)","Closing value
(31 December 2020)",
,Expected physical flows,Global climate regulation (tonnes CO2),5,5,
,,Recreation-related (# visits),2400,2600,
,Expected prices,Global climate regulation,25,26,
,,Recreation-related services,5,5,
,Expected exchange values,Global climate regulation,125,130,
,,Recreation-related services,12000,13000,
,,Total,12125,13130,
,Net present value,Global climate regulation,5387.293955014089,5602.785713214653,
,,Recreation-related services,517180.21968135255,560278.5713214653,
,,Total,522567.51363636664,565881.35703468,
,Change in NPV,,,43313.84339831333,
,Assumptions,Asset life (in years),100,100,
,,Discount rate,0.02,0.02,
,Wetland,,"Opening value
(1 January 2020)","Closing value
(31 December 2020)",
,Expected physical flows,Global climate regulation (tonnes CO2),20,19,
,,Water purification (tonnes N removed) ,7,7,
,Expected prices,Global climate regulation,25,26,
,,Water purification,100,100,
,Expected exchange values,Global climate regulation,500,494,
,,Water purification,700,700,
,,Total,1200,1194,
,Net present value,Global climate regulation,21549.175820056356,21290.58571021568,
,,Water purification,30168.8461480789,30168.8461480789,
,,Total,51718.02196813526,51459.431858294585,
,Change in NPV,,,-258.5901098406757,
,Assumptions,Asset life (in years),100,100,
,,Discount rate,0.02,0.02,
,Seagrass,,"Opening value
(1 January 2020)","Closing value
(31 December 2020)",
,Expected physical flows,Wild fish provisioning (tonnes),6,6,
,,Global climate regulation (tonnes CO2),250,250,
,,Recreation-related (# visits),800,700,
,Expected prices,Wild fish provisioning,340,370,
,,Global climate regulation,25,26,
,,Recreation-related,5,5,
,Expected exchange values,Wild fish provisioning,2040,2220,
,,Global climate regulation,6250,6500,
,,Recreation-related,4000,3500,
,,Total,12290,12220,
,Net present value,Wild fish provisioning,87920.63734582992,95678.34064105022,
,,Global climate regulation,269364.6977507045,280139.28566073265,
,,Recreation-related,172393.40656045085,150844.23074039447,
,,Total,529678.7416569853,526661.8570421773,
,Change in NPV,,,-3016.884614807903,
,Assumptions,Asset life (in years),100,100,
,,Discount rate,0.02,0.02,
