NPV decomposition by ET,,,,,,,,,,,,,,,,,
Forest,,,,,,,,,,,,,,,,,
Basic data,,Area,,,Price,,,Expected flow,,Quantity,,,Volume (intensity),,,NPV,
,,a0,a1,(a1-a0),p0,p1,p1-p0,ES0,ES1,Q0,Q1,Q1-Q0,q0,q1,q1-q0,NPV0,NPV1
,,"from ""Extent""",,,px = NPVx / Qx,,,"from ""ES flows""",,Qx = Esx * asset life,,,qx = Qx / ax,,,"from ""NPV by ET""",
,Wood provisioning,40,38,-2,25.85901098406763,28.01392856607326,2.1549175820056305,150,120,15000,12000,-3000,375,315.7894736842105,-59.21052631578948,387885.16476101446,336167.14279287914
,Global climate regulation,40,38,-2,10.774587910028178,11.205571426429307,0.4309835164011293,160,125,16000,12500,-3500,400,328.94736842105266,-71.05263157894734,172393.40656045085,140069.64283036633
,Recreation-related,40,38,-2,2.1549175820056354,2.154917582005636,0,1600,1450,160000,145000,-15000,4000,3815.7894736842104,-184.2105263157896,344786.8131209017,312463.0493908172
Decomposition components,,,,,,,,,,,,,,,,,
,,p0q0,p0q1,p1q0,p1q1,,p0a0,p0a1,p1a0,p1a1,,q0a0,q0a1,q1a0,q1a1,,
,Wood provisioning,9697.129119025361,8166.003468652936,10505.223212277473,8846.503757707345,,1034.3604393627052,982.64241739457,1120.5571426429306,1064.529285510784,,15000,14250,12631.57894736842,12000,,
,Global climate regulation,4309.835164011271,3544.272338825059,4482.228570571723,3686.043232378062,,430.9835164011271,409.4343405810707,448.2228570571723,425.81171420431366,,16000,15200,13157.894736842107,12500.000000000002,,
,Recreation-related,8619.670328022541,8222.711826074135,8619.670328022543,8222.711826074137,,86.19670328022542,81.88686811621415,86.19670328022544,81.88686811621416,,160000,152000,152631.57894736843,145000,,
Results,,,,,,,,,,,,,,,,,
,,Area effect,Volume effect,Price effect,Total,,,,,,,,,,,,
,Wood provisioning,-18586.164144798604,-62180.71391234683,29048.85608901011,-51718.02196813532,,,,,,,,,,,,
,Global climate regulation,-8006.085900725149,-30448.985433739617,6131.307604380276,-32323.76373008449,,,,,,,,,,,,
,Recreation-related,-16842.38215409668,-15481.381575987865,0,-32323.763730084545,,,,,,,,,,,,
,Total,-43434.632199620435,-108111.08092207431,35180.16369339039,-116365.54942830437,,check,0,,,,,,,,,
,Change in condition,"from ""Condition indices""",,,,,,-0.058981481481481524,,,,,,,,,
,Type of effect,,,,,Accounting entry,,,,,,,,,,,
,Area effect:,,,,,Ecosystem conversion,,,,,,,,,,,
,   Positive,,,,=>,   Additions,,0,,,,,,,,,
,   Negative,,,,=>,   Reductions,,-43434.632199620435,,,,,,,,,
,Volume effect:,,If condition change:,,,,,,,,,,,,,,
,   Positive,,   Positive,,=>,Enhancement,,0,,,,,,,,,
,,,   Negative (or 0),,=>,Upward reappraisal,,0,,,,,,,,,
,   Negative,,   Positive (or 0),,=>,Downward reappraisal,,0,,,,,,,,,
,,,   Negative,,=>,Degradation,,-108111.08092207431,,,,,,,,,
,Price effect:,,,,=>,Revaluation ,,35180.16369339039,,,,,,,,,
,,,,,,,check,0,,,,,,,,,
Lake,,,,,,,,,,,,,,,,,
Basic data,,Area,,,Price,,,Expected flow,,Quantity,,,Volume (intensity),,,NPV,
,,a0,a1,(a1-a0),p0,p1,p1-p0,ES0,ES1,Q0,Q1,Q1-Q0,q0,q1,q1-q0,NPV0,NPV1
,,"from ""Extent""",,,px = NPVx / Qx,,,"from ""ES flows""",,Qx = Esx * asset life,,,qx = Qx / ax,,,"from ""NPV by ET""",
,Wild fish biomass provisioning,30,30,0,146.5343955763832,159.46390106841702,12.929505492033826,3,4,300,400,100,10,13.333333333333334,3.333333333333334,43960.31867291496,63785.56042736681
,Recreation-related,30,30,0,2068.7208787254103,2154.9175820056357,86.19670328022539,5,5,500,500,0,16.666666666666668,16.666666666666668,0,1034360.4393627051,1077458.791002818
Decomposition components,,,,,,,,,,,,,,,,,
,,p0q0,p0q1,p1q0,p1q1,,p0a0,p0a1,p1a0,p1a1,,q0a0,q0a1,q1a0,q1a1,,
,Wild fish biomass provisioning,1465.343955763832,1953.7919410184427,1594.6390106841702,2126.1853475788935,,4396.0318672914955,4396.0318672914955,4783.917032052511,4783.917032052511,,300,300,400,400,,
,Recreation-related,34478.68131209017,34478.68131209017,35915.29303342727,35915.29303342727,,62061.62636176231,62061.62636176231,64647.52746016907,64647.52746016907,,500.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,,
Results,,,,,,,,,,,,,,,,,
,,Area effect,Volume effect,Price effect,Total,,,,,,,,,,,,
,Wild fish biomass provisioning,0,15299.91483224001,4525.326922211839,19825.24175445185,,,,,,,,,,,,
,Recreation-related,0,0,43098.3516401127,43098.3516401127,,,,,,,,,,,,
,Total,0,15299.91483224001,47623.67856232454,62923.59339456455,,check,-1.4551915228366852e-10,,,,,,,,,
,Change in condition,"from ""Condition indices""",,,,,,0.04561098161098165,,,,,,,,,
,Type of effect,,,,,Accounting entry,,,,,,,,,,,
,Area effect:,,,,,Ecosystem conversion,,,,,,,,,,,
,   Positive,,,,=>,   Additions,,0,,,,,,,,,
,   Negative,,,,=>,   Reductions,,0,,,,,,,,,
,Volume effect:,,If condition change:,,,,,,,,,,,,,,
,   Positive,,   Positive,,=>,Enhancement,,15299.91483224001,,,,,,,,,
,,,   Negative (or 0),,=>,Upward reappraisal,,0,,,,,,,,,
,   Negative,,   Positive (or 0),,=>,Downward reappraisal,,0,,,,,,,,,
,,,   Negative,,=>,Degradation,,0,,,,,,,,,
,Price effect:,,,,=>,Revaluation ,,47623.67856232454,,,,,,,,,
,,,,,,,check,0,,,,,,,,,
Cropland,,,,,,,,,,,,,,,,,
Basic data,,Area,,,Price,,,Expected flow,,Quantity,,,Volume (intensity),,,NPV,
,,a0,a1,(a1-a0),p0,p1,p1-p0,ES0,ES1,Q0,Q1,Q1-Q0,q0,q1,q1-q0,NPV0,NPV1
,,"from ""Extent""",,,px = NPVx / Qx,,,"from ""ES flows""",,Qx = Esx * asset life,,,qx = Qx / ax,,,"from ""NPV by ET""",
,Crop provisioning ,60,62,2,32.323763730084536,32.32376373008453,0,150,170,15000,17000,2000,250,274.19354838709677,24.19354838709677,484856.455951268,549503.983411437
Decomposition components,,,,,,,,,,,,,,,,,
,,p0q0,p0q1,p1q0,p1q1,,p0a0,p0a1,p1a0,p1a1,,q0a0,q0a1,q1a0,q1a1,,
