Ecosystem services supply and use account in physical terms ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUPPLY,,,UNITS OF MEASURE,,,,,,,,,,,Forest,Lake,Cropland,Urban area,Wetland,Seagrass,Total Supply resident  ecosystem assets,Supply from non-resident ecosystem assets - Imports,,TOTAL SUPPLY,
,,,,,,,,,,,,,,,,,,,,,,,Final,Intermediate,,
,,Selected ecosystem services,,,,,,,,,,,,,,,,,,,,,,,,
,,Provisioning services,,,,,,,,,,,,,,,,,,,,,,,,
,,,Biomass provisioning,Crop provisioning,tonnes,,,,,,,,,,,,,150,,,,150,0,0,150,
,,,,Wood provisioning services,m3,,,,,,,,,,,140,,,,,,140,0,0,140,
,,,,Wild fish and other natural aquatic biomass provisioning services,tonnes,,,,,,,,,,,,3,,,,6,9,0,0,9,
,,Regulating and maintenance services,,,,,,,,,,,,,,,,,,,,,,,,
,,,Global climate regulation services,,tonnes CO2,,,,,,,,,,,150,,,5,20,250,425,0,0,425,
,,,Water purification services,,tonnes N removed,,,,,,,,,,,,,,,7,,7,0,0,7,
,,Cultural services,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recreation-related services,,# visits,,,,,,,,,,,1500,5000,,2500,,800,9800,0,0,9800,
,,USE,,,UNITS OF MEASURE,Agriculture,Forestry,Fisheries,"Electricity, gas, steam and air conditioning supply",Total  Industry,Government consumption,Household consumption,Total Use by resident economic units ,Exports - final ecosystem services,Total Use by economic units ,Forest,Lake,Cropland,Urban area,Wetland,Seagrass,Total use resident  ecosystem assets,Exports - intermediate services,Total Use by ecosystem assets,TOTAL USE,
,,Selected ecosystem services,,,,,,,,,,,,,,,,,,,,,,,,
,,Provisioning services,,,,,,,,,,,,,,,,,,,,,,,,
,,,Biomass provisioning,Crop provisioning,tonnes,150,,,,150,,,150,,150,,,,,,,0,0,0,150,
,,,,Wood provisioning services,m3,,140,,,140,,,140,,140,,,,,,,0,0,0,140,
,,,,Wild fish and other natural aquatic biomass provisioning services,tonnes,,,9,,9,,,9,,9,,,,,,,0,0,0,9,
,,Regulating and maintenance services,,,,,,,,,,,,,,,,,,,,,,,,
,,,Global climate regulation services,,tonnes CO2,,,,,0,425,,425,,425,,,,,,,0,0,0,425,
,,,Water purification services,,tonnes N removed,,,,7,7,,,7,,7,,,,,,,0,0,0,7,
,,Cultural services,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recreation-related services,,# visits,,,,,0,,9800,9800,,9800,,,,,,,0,0,0,9800,
